product,total_sale,profit,prediction
Le Cidre De Fouesnant / 5%,2549.64,809.64,0
"De Molen Heaven & Hell / 11,9%",0.0,-297.5,0
Lindemans Cassis Fruit Lambic / 3.5% / 0.25l,70047.21999999999,24337.220000000005,0
Amundsen Apacalyptic Thunder Juice,1479.58,309.58000000000004,0
Jaws Singularity 5.7%,8792.580000000002,4420.68,0
Raspberry AF Brew,671.9,591.9,0
"Boon Horal Megablend 20/ geuze / 7% / 0,75",8242.470000000001,1936.47,0
Kona Big Wave Golden Ale 0.355,1616.69,656.69,0
Evil Twin Sumo In A Sidecar 0.473,2254.43,880.43,0
Brekeriet Fruit Bonanza 0.33,5614.5,1716.4999999999998,0
Lervig Perler For Svin 0.33,5016.01,2100.01,0
Brewdog Paradox Islay BA 0.33,9348.970000000001,3083.37,0
Ostrovica Almo 0.5,12802.02,5652.02,0
Northern Monk Neapolitan 0.33,2950.54,1065.54,0
Stamm Beer Limit Break NE Triple IPA Barrel avgust,25909.66,11829.66,0
Cider sparkling Bushe Le Verzhe dju Kotanten sweet,490.0,489.0,0
Mikkeller Mikkeller Sandrajd Sejson Barrel,15835.280000000002,7382.78,0
AF Brew Three Identical Strangers ADHA 483 0.5,3863.1000000000004,1313.1,0
Zagovor The Charming Man 0.5,9162.939999999999,3387.9400000000005,0
Oud Beersel Bersalis Kadet / 4.5 %,455.0,77.0,0
Aspall Suffolk Perronelle's Blush,15695.94,6421.9400000000005,0
"Birra del' Borgo Fragus 0,330",949.0999999999999,-75.21999999999997,0
"Alvinne Kerasus 20/ 6% / 0,33",2704.01,724.01,0
Bakunin Summer Of Haze Can,5337.16,2337.16,0
Amager Cristopher The Crimson Crooner 11%,2414.53,464.5300000000001,0
"AF Brew Love And Squalor 0,33",6726.65,1926.6500000000003,0
"Les Bulles Ardennaises Cidre Rose 0,75",8539.64,3250.6400000000003,0
"Amundsen Lorita 0,33",1992.25,732.25,0
Red Button Droppin Sticks 0.33,5084.29,2384.29,0
Brewski Show Me The Money DIPA 0.33,4797.9,1607.9,0
Brewski Glutard IPA 0.33,1598.93,542.9300000000001,0
"Van Honsebrouck Kasteel Rouge 1,5L",4940.0,2070.4,0
GUSI Barrel  Ostrovica Pumpkin Master Barrel,61430.57,40821.82,0
Déjeuner Sous Balles BA ex. Lobotomy ex. bourbon barrel Barrel20,10061.019999999999,5139.77,0
AF Brew Kiss The Dust Barrel,10366.57,5057.82,0
Wild Beer Isle Of Avalon 0.75,1899.44,354.44,0
Maxlrainer Leo Weisse Barrel,14799.32,7981.82,0
Cider Toksovskaya Sideria Smoothie Point 0.33,300.0,160.0,0
"Fantome Saison / saison / 8% / 0,75 / but",12762.68,3074.6800000000003,0
Brewdog Abstrakt AB:/ saison / 13.1% / 0.375 / but,877.44,-51.76,0
WHITE HAG The Puca Berry Hibiscus and Ginger 0.33,3521.8,1229.8,0
"Red Button Hard Luxe 0,Can",4050.83,1460.83,0
Pohjala Pime OO Barrel,19995.8,7379.8,0
Magic Rock Cannonball IPA 0.33,1346.53,671.53,0
AF Brew Supercandyman 0.33,6459.0599999999995,2279.06,0
Ame Wild Freaks Shine Bright 0.3,7118.1,2818.1,0
Cider Fruktstereo Punkquette 0.33,1149.75,340.83000000000004,0
De Molen Bommen & Granaten 0.33,2497.8,951.5999999999999,0
Pohjala Collusion Course 0.33,2917.8,557.8,0
Stillwater Artisanal Password 0.473,720.0,229.0,0
De Molen Rasputin Boumor BA 0.33,10089.619999999999,1528.42,0
To Ol My Honninkage Bourbon 0.25,2842.91,847.9100000000001,0
Cider non-alcoholic Los' i Kedr 0.33,3772.44,1252.44,0
Bakunin Zest Blanche 0.5,9875.45,5880.45,0
Bakunin The Rhytm 0.5,11870.41,4850.41,0
Cider sparkling Rose Le Klo Fleri,1.25,-0.75,0
Sierra Nevada Porter / 5.6% / IBU/ 0.355l,1819.71,679.71,0
"Ayinger Brau-Weisse / hefeweizen / 5,1% / 0,5",17487.77,7907.7699999999995,0
"Lindemans Cassis 3,5% Barrel",168578.37000000002,75413.26999999999,3
"White Hag The Puca Dry Hopped Lemon Sour 0,Can",965.5999999999999,261.6,0
To Ol Under The Radar B/A 0.33,291.4,-589.8,0
Jaws Hyper IPA Barrel,9302.48,4197.379999999999,0
Dieta Beauty & Health NOVAJa POSTAVKA,27862.5,14129.299999999997,0
Stamm Beer ? Double Hoppy Milk Guava / Foggy Milk IPA Barrel,45328.509999999995,22221.64,0
Mojoj Hot D'Azur B/A 0.33,3120.0,1090.0,0
Cider ohmelennyj non-alcoholic Los' i Kedr 0.5,9996.25,4414.25,0
Cider Hecks Dry Cider 0.5,2607.65,897.65,0
Mobius Pint Acid Pineapple Fields 0.5,2324.5299999999997,924.53,0
Assorted nuts 100 gr,497788.5100000002,457258.5100000001,2
Phoebe Stamm Beer Sour Passion Party 6%,11962.820000000002,6087.820000000001,0
Spontanist WOSTOK Pihta,13636.660000000002,6359.2199999999975,0
Omnipollo Coverd In Pappis,5585.469999999999,1521.4299999999998,0
"Omnipollo Flyktsoda 7,1% 0,33",12877.74,4215.32,0
Omnipollo Julie Triple Mango Créme Brûlée Lassi Gose / 20L,239.79,64.79,0
Wheat It Up XP,110.0,40.0,0
